"","M6","M10","M1","M9","M12","M2","M8","M11","M5","M4","M3","M7"
"M6",NA,41,39,79,102,28,30,47,43,40,58,61
"M10",0,NA,13,16,13,3,2,3,4,3,6,9
"M1",1,4,NA,7,4,0,0,4,0,0,3,1
"M9",0,0,0,NA,15,1,0,2,0,2,5,4
"M12",0,0,2,0,NA,1,0,6,0,0,4,0
"M2",0,0,0,0,0,NA,1,0,0,0,1,1
"M8",0,0,0,0,0,0,NA,0,0,0,2,0
"M11",0,0,0,1,0,0,1,NA,3,0,0,1
"M5",0,0,0,0,0,0,0,0,NA,1,0,3
"M4",0,0,0,0,0,0,0,0,0,NA,0,0
"M3",1,0,1,1,1,0,0,0,10,1,NA,2
"M7",0,0,2,0,0,0,0,0,0,0,1,NA
