"","M12","M5","M1","M10","M6","M7","M4","M2","M9","M8","M3","M11"
"M12",NA,24,28,18,20,15,16,22,30,53,28,40
"M5",0,NA,4,0,5,4,3,6,9,6,10,7
"M1",1,8,NA,0,2,5,1,6,0,4,8,3
"M10",0,0,0,NA,0,5,0,0,3,2,3,1
"M6",0,0,0,0,NA,1,2,12,3,3,9,6
"M7",0,0,0,0,0,NA,1,0,9,1,16,1
"M4",1,0,0,0,0,0,NA,0,0,0,0,0
"M2",0,0,0,0,0,0,0,NA,0,0,0,0
"M9",0,0,1,0,0,0,0,0,NA,0,1,1
"M8",0,0,0,0,0,0,0,0,0,NA,1,1
"M3",0,0,0,0,1,0,0,0,2,1,NA,2
"M11",0,0,0,0,0,1,0,0,1,0,0,NA
