"","M4","M5","M7","M8","M9","M2","M12","M11","M3","M1","M6","M10"
"M4",NA,105,23,43,20,24,86,30,19,27,32,25
"M5",0,NA,8,24,14,14,37,9,15,20,11,12
"M7",0,0,NA,4,4,4,4,5,1,5,5,3
"M8",0,0,0,NA,0,6,14,2,1,6,4,11
"M9",1,0,0,4,NA,5,0,2,3,1,3,0
"M2",0,0,1,0,2,NA,6,2,0,0,5,1
"M12",0,0,0,1,3,0,NA,8,2,3,2,2
"M11",4,0,0,0,0,0,1,NA,0,2,0,1
"M3",0,0,0,0,0,0,0,0,NA,0,0,0
"M1",0,0,0,1,0,0,0,0,1,NA,1,2
"M6",0,1,0,0,0,0,0,0,0,0,NA,0
"M10",0,0,0,0,0,0,0,0,0,0,0,NA
