"","M7","M4","M9","M11","M10","M5","M2","M8","M12","M6","M3","M1"
"M7",NA,92,33,51,17,55,18,30,20,17,25,21
"M4",0,NA,13,9,21,12,8,14,7,12,16,9
"M9",0,0,NA,0,1,11,2,1,0,1,5,1
"M11",0,0,2,NA,0,1,4,0,1,1,3,1
"M10",0,1,1,5,NA,0,1,0,1,0,1,0
"M5",1,0,2,2,7,NA,0,11,7,3,1,4
"M2",0,2,0,0,0,0,NA,0,8,2,1,1
"M8",1,0,0,0,0,0,0,NA,0,0,4,0
"M12",2,0,0,0,0,1,0,0,NA,0,1,2
"M6",0,1,0,0,0,0,0,0,0,NA,1,1
"M3",0,0,0,0,0,8,0,3,0,0,NA,1
"M1",0,0,0,0,0,0,0,0,0,0,1,NA
