"","M6","M1","M8","M12","M5","M11","M3","M2","M7","M4","M9","M10"
"M6",NA,22,28,16,9,31,9,25,52,35,25,16
"M1",0,NA,5,16,2,5,7,14,15,9,6,7
"M8",1,1,NA,1,3,0,0,2,16,6,0,2
"M12",0,2,9,NA,0,2,1,0,0,5,10,2
"M5",1,0,0,0,NA,0,0,2,0,1,0,0
"M11",0,1,1,0,1,NA,0,3,7,2,0,0
"M3",0,0,0,1,0,0,NA,0,1,0,0,1
"M2",0,0,1,0,0,2,0,NA,6,7,5,3
"M7",0,0,2,0,0,0,1,1,NA,5,10,3
"M4",0,0,0,6,0,5,0,2,1,NA,2,3
"M9",0,0,0,1,0,0,2,35,1,2,NA,0
"M10",0,0,0,2,0,1,0,1,0,0,4,NA
