"","M8","M7","M2","M11","M5","M12","M1","M4","M3","M10","M6","M9"
"M8",NA,82,33,18,23,41,19,6,14,15,11,5
"M7",19,NA,29,32,52,29,12,20,18,15,30,9
"M2",1,67,NA,17,5,15,11,5,6,5,8,10
"M11",2,2,5,NA,2,3,15,20,21,4,7,1
"M5",0,0,0,0,NA,1,13,7,2,0,8,0
"M12",0,0,6,3,0,NA,6,5,15,9,15,2
"M1",0,0,1,2,2,1,NA,4,0,13,8,9
"M4",0,0,1,0,0,2,0,NA,3,3,2,2
"M3",0,2,0,0,0,0,6,2,NA,3,8,0
"M10",0,0,0,0,0,1,1,0,12,NA,1,8
"M6",0,0,0,2,4,16,0,0,0,2,NA,4
"M9",0,0,0,0,0,0,0,0,1,0,1,NA
