"","M4","M7","M3","M6","M11","M10","M5","M8","M1","M12","M2","M9"
"M4",NA,76,79,53,64,28,16,43,21,22,40,38
"M7",0,NA,1,33,11,32,4,17,5,9,16,22
"M3",2,45,NA,21,0,9,8,13,9,5,16,6
"M6",2,4,9,NA,4,22,3,39,11,21,13,8
"M11",0,2,8,3,NA,5,1,2,13,5,3,9
"M10",0,0,0,0,0,NA,0,0,1,1,0,0
"M5",1,0,0,3,0,0,NA,0,2,0,0,1
"M8",0,1,11,0,2,0,0,NA,4,0,1,1
"M1",1,0,1,3,0,0,2,2,NA,1,3,6
"M12",1,1,1,1,2,0,3,3,0,NA,1,0
"M2",0,2,1,0,2,0,0,2,0,0,NA,1
"M9",1,0,0,0,3,0,0,0,0,1,0,NA
