"","M7","M10","M8","M9","M11","M6","M4","M1","M3","M12","M5","M2"
"M7",NA,36,30,39,26,20,13,17,14,43,27,12
"M10",0,NA,10,11,17,11,20,14,18,31,12,6
"M8",0,0,NA,10,9,11,19,9,5,22,18,9
"M9",0,0,0,NA,2,7,1,2,3,8,4,0
"M11",0,0,0,0,NA,3,2,1,3,3,0,2
"M6",0,0,1,4,0,NA,2,3,4,1,1,5
"M4",0,0,1,0,3,2,NA,2,0,7,12,10
"M1",0,1,0,3,2,0,5,NA,1,6,1,12
"M3",0,0,0,5,1,4,1,1,NA,2,0,1
"M12",0,0,0,3,1,1,1,4,2,NA,6,3
"M5",1,0,1,0,0,0,0,7,1,1,NA,4
"M2",0,0,0,1,0,0,0,0,0,0,1,NA
