"","M7","M6","M5","M1","M10","M9","M4","M2","M3","M8","M11","M12"
"M7",NA,45,14,2,40,12,16,6,8,16,15,5
"M6",0,NA,16,12,19,10,20,10,8,30,3,9
"M5",2,0,NA,10,14,6,8,5,19,6,8,2
"M1",0,0,0,NA,2,2,1,2,3,2,6,1
"M10",0,0,1,0,NA,6,0,1,6,3,4,1
"M9",0,1,1,0,0,NA,1,3,7,0,1,4
"M4",0,0,0,0,0,1,NA,0,5,1,0,1
"M2",0,1,0,0,2,0,1,NA,0,1,2,4
"M3",0,1,0,0,3,4,0,1,NA,3,2,3
"M8",0,0,0,0,0,0,0,0,1,NA,0,1
"M11",1,0,0,0,0,0,0,0,0,0,NA,0
"M12",0,0,0,0,0,0,0,0,0,0,0,NA
