"","M12","M10","M3","M7","M5","M9","M8","M2","M11","M1","M6","M4"
"M12",NA,62,40,3,53,19,9,6,15,3,6,8
"M10",0,NA,16,2,25,2,9,2,2,6,9,9
"M3",0,2,NA,11,19,12,2,8,6,5,10,7
"M7",1,1,3,NA,1,3,7,13,10,8,20,16
"M5",0,0,0,10,NA,7,4,8,1,5,9,14
"M9",0,1,0,5,1,NA,11,4,2,6,9,2
"M8",0,0,0,0,0,5,NA,1,1,1,3,2
"M2",1,0,0,0,0,0,0,NA,11,3,2,4
"M11",0,0,2,1,0,1,0,0,NA,7,0,5
"M1",0,0,0,0,1,0,0,0,1,NA,2,2
"M6",0,0,0,0,0,0,1,0,0,0,NA,2
"M4",0,0,0,0,0,0,0,0,0,0,0,NA
