"","M8","M12","M11","M2","M10","M1","M7","M3","M6","M4","M9","M5"
"M8",NA,58,59,11,31,25,28,31,36,10,16,17
"M12",23,NA,42,27,40,28,4,18,42,15,27,16
"M11",1,1,NA,0,2,2,4,4,1,2,2,4
"M2",0,1,0,NA,15,2,18,1,3,3,10,10
"M10",0,0,0,1,NA,19,34,4,7,13,34,15
"M1",0,0,0,7,8,NA,3,3,12,11,11,12
"M7",0,0,1,0,1,20,NA,21,5,26,1,16
"M3",0,0,1,14,20,1,0,NA,0,3,1,7
"M6",0,0,0,0,4,1,6,0,NA,0,9,3
"M4",0,0,1,3,0,12,0,1,0,NA,2,4
"M9",0,0,1,0,2,0,3,11,0,0,NA,0
"M5",0,0,0,0,1,0,0,0,10,8,1,NA
