"","M12","M5","M9","M10","M1","M3","M8","M4","M6","M11","M2","M7"
"M12",NA,11,17,87,33,3,36,25,33,19,40,33
"M5",1,NA,1,6,4,2,1,2,7,6,1,1
"M9",0,0,NA,4,4,1,0,1,3,2,1,3
"M10",1,0,0,NA,9,0,3,3,7,4,1,0
"M1",2,0,4,2,NA,0,7,4,1,12,0,14
"M3",0,0,0,0,0,NA,0,1,0,0,1,1
"M8",1,0,0,0,4,0,NA,1,0,19,1,7
"M4",0,0,0,1,0,0,3,NA,0,0,1,0
"M6",1,0,0,0,0,0,0,0,NA,1,1,1
"M11",1,0,0,0,1,0,0,0,1,NA,3,1
"M2",1,0,0,0,0,0,0,0,0,0,NA,3
"M7",0,0,1,0,0,0,0,0,2,1,0,NA
