"","M10","M3","M5","M2","M12","M8","M4","M1","M9","M7","M11","M6"
"M10",NA,152,61,45,47,47,16,23,54,40,20,34
"M3",1,NA,19,18,53,16,6,4,9,9,11,14
"M5",0,6,NA,7,5,10,1,5,12,2,2,11
"M2",0,0,5,NA,1,1,3,4,7,2,7,8
"M12",0,4,0,2,NA,2,0,0,0,2,0,1
"M8",1,0,3,3,0,NA,5,5,3,1,5,2
"M4",1,0,0,0,1,3,NA,0,0,0,2,0
"M1",0,1,0,1,0,1,0,NA,1,1,1,1
"M9",0,0,0,0,0,3,1,2,NA,3,1,0
"M7",1,0,0,0,0,1,0,0,1,NA,0,2
"M11",0,1,0,1,0,0,0,0,2,0,NA,0
"M6",1,0,0,0,0,1,0,0,0,0,0,NA
