"","M5","M9","M1","M12","M2","M3","M11","M6","M7","M10","M4","M8"
"M5",NA,48,37,36,41,18,16,19,23,16,21,21
"M9",0,NA,1,1,2,0,4,3,6,1,5,1
"M1",0,1,NA,2,0,2,0,0,7,1,11,0
"M12",0,2,0,NA,2,0,1,0,2,0,1,1
"M2",0,2,0,0,NA,1,2,2,6,18,3,1
"M3",0,0,0,0,0,NA,1,0,0,0,4,1
"M11",0,0,5,0,1,0,NA,0,0,0,0,0
"M6",2,1,0,0,2,0,0,NA,1,1,3,3
"M7",0,0,0,1,1,0,0,3,NA,0,2,1
"M10",0,0,1,0,1,0,0,1,0,NA,0,0
"M4",0,0,1,0,2,2,0,3,1,5,NA,0
"M8",0,0,0,0,0,0,0,0,0,0,0,NA
