Time,Attacker,Victim,Attack Type,2,1,4,3
37100900,1,2,P,-1.0,1.0,0.0,0.0
37102700,1,2,J,-1.0,1.0,0.0,0.0
37123500,1,2,P,-1.0,1.0,0.0,0.0
37209600,1,4,P,-1.0,2.0,-1.0,0.0
37224600,1,4,C,-1.0,2.0,-1.0,0.0
37333700,1,4,P,-1.0,2.0,-1.0,0.0
37390300,1,3,P,-1.0,3.0,-1.0,-1.0
37635000,1,2,P,-1.0,3.0,-1.0,-1.0
38273300,1,3,P,-1.0,3.0,-1.0,-1.0
38275800,1,3,C,-1.0,3.0,-1.0,-1.0
38325900,1,3,P,-1.0,3.0,-1.0,-1.0
38415900,1,2,P,-1.0,3.0,-1.0,-1.0
38509900,1,2,P,-1.0,3.0,-1.0,-1.0
38546200,1,4,P,-1.0,3.0,-1.0,-1.0
38595300,1,3,P,-1.0,3.0,-1.0,-1.0
38598100,1,3,P,-1.0,3.0,-1.0,-1.0
38602500,1,2,P,-1.0,3.0,-1.0,-1.0
38696800,1,4,J,-1.0,3.0,-1.0,-1.0
38698300,1,4,P,-1.0,3.0,-1.0,-1.0
38721000,1,2,P,-1.0,3.0,-1.0,-1.0
38798800,1,2,P,-1.0,3.0,-1.0,-1.0
38833600,1,4,P,-1.0,3.0,-1.0,-1.0
39026500,1,2,P,-1.0,3.0,-1.0,-1.0
39030700,1,2,P,-1.0,3.0,-1.0,-1.0
39033900,1,2,P,-1.0,3.0,-1.0,-1.0
39122300,1,4,P,-1.0,3.0,-1.0,-1.0
39691900,1,4,P,-1.0,3.0,-1.0,-1.0
39923900,1,4,P,-1.0,3.0,-1.0,-1.0
39935100,1,3,P,-1.0,3.0,-1.0,-1.0
39937900,1,3,P,-1.0,3.0,-1.0,-1.0
40296400,1,3,J,-1.0,3.0,-1.0,-1.0
40522500,1,2,P,-1.0,3.0,-1.0,-1.0
40672700,1,2,P,-1.0,3.0,-1.0,-1.0
40685300,1,2,P,-1.0,3.0,-1.0,-1.0
40698500,1,2,P,-1.0,3.0,-1.0,-1.0
40700000,1,2,J,-1.0,3.0,-1.0,-1.0
40797100,1,4,P,-1.0,3.0,-1.0,-1.0
41114400,1,2,P,-1.0,3.0,-1.0,-1.0
41517200,1,2,P,-1.0,3.0,-1.0,-1.0
41519600,1,2,J,-1.0,3.0,-1.0,-1.0
41533900,1,2,P,-1.0,3.0,-1.0,-1.0
41549500,1,3,P,-1.0,3.0,-1.0,-1.0
41552200,1,2,P,-1.0,3.0,-1.0,-1.0
