Time,Attacker,Victim,Attack Type,4,3,2,1
36233700,3,4,P,-1.0,1.0,0.0,0.0
36236700,4,3,P,0.0,0.0,0.0,0.0
36372600,1,2,J,0.0,0.0,-1.0,1.0
36374700,1,2,J,0.0,0.0,-1.0,1.0
36523400,1,4,C,-1.0,-0.5,-1.0,2.5
36681900,1,2,J,-1.0,-0.5,-1.0,2.5
37023900,1,2,J,-1.0,-0.5,-1.0,2.5
37159200,1,4,J,-1.0,-0.5,-1.0,2.5
37928100,2,4,P,-3.0,-1.0,0.5,3.5
37929400,2,4,J,-3.0,-1.0,0.5,3.5
38249800,2,4,P,-3.0,-1.0,0.5,3.5
38250900,2,3,J,-3.5,-3.0,2.0,4.5
38252700,2,4,P,-3.5,-3.0,2.0,4.5
38348300,2,4,P,-3.5,-3.0,2.0,4.5
38408700,2,4,P,-3.5,-3.0,2.0,4.5
38410200,2,4,J,-3.5,-3.0,2.0,4.5
38450000,2,3,J,-3.5,-3.0,2.0,4.5
38452900,2,3,P,-3.5,-3.0,2.0,4.5
38771000,2,4,P,-3.5,-3.0,2.0,4.5
38991300,2,3,P,-3.5,-3.0,2.0,4.5
39005700,2,4,J,-3.5,-3.0,2.0,4.5
39115600,2,3,P,-3.5,-3.0,2.0,4.5
39379300,2,3,P,-3.5,-3.0,2.0,4.5
39380400,2,3,J,-3.5,-3.0,2.0,4.5
39382000,2,3,P,-3.5,-3.0,2.0,4.5
39384300,2,3,P,-3.5,-3.0,2.0,4.5
39551000,2,4,P,-3.5,-3.0,2.0,4.5
39598300,2,3,P,-3.5,-3.0,2.0,4.5
39607300,2,1,P,-3.5,-2.8,2.6000000000000005,3.7
39738800,2,4,P,-3.5,-2.8,2.6000000000000005,3.7
39786400,2,3,P,-3.5,-2.8,2.6000000000000005,3.7
39788800,2,3,P,-3.5,-2.8,2.6000000000000005,3.7
39789400,2,3,P,-3.5,-2.8,2.6000000000000005,3.7
39793400,2,4,P,-3.5,-2.8,2.6000000000000005,3.7
39814900,2,4,P,-3.5,-2.8,2.6000000000000005,3.7
39817800,2,4,P,-3.5,-2.8,2.6000000000000005,3.7
39828900,2,4,P,-3.5,-2.8,2.6000000000000005,3.7
39830900,2,1,P,-3.5,-2.6666666666666665,2.9999999999999996,3.166666666666666
39835500,1,2,P,-3.5,-2.7142857142857144,2.8571428571428568,3.3571428571428577
40034000,1,3,P,-4.0,-4.0,3.1428571428571432,4.857142857142858
40257400,2,4,P,-4.0,-4.0,3.1428571428571432,4.857142857142858
40264800,2,4,P,-4.0,-4.0,3.1428571428571432,4.857142857142858
40266000,2,4,J,-4.0,-4.0,3.1428571428571432,4.857142857142858
40362300,2,3,P,-4.0,-4.0,3.1428571428571432,4.857142857142858
40367300,2,3,P,-4.0,-4.0,3.1428571428571432,4.857142857142858
40368500,2,3,P,-4.0,-4.0,3.1428571428571432,4.857142857142858
40374600,2,3,P,-4.0,-4.0,3.1428571428571432,4.857142857142858
40446400,2,3,P,-4.0,-4.0,3.1428571428571432,4.857142857142858
40448900,2,3,P,-4.0,-4.0,3.1428571428571432,4.857142857142858
40453700,2,3,C,-4.0,-4.0,3.1428571428571432,4.857142857142858
40518400,2,3,P,-4.0,-4.0,3.1428571428571432,4.857142857142858
40519500,2,3,P,-4.0,-4.0,3.1428571428571432,4.857142857142858
40556800,1,2,P,-4.0,-4.0,3.0,5.0
40629000,2,4,P,-4.0,-4.0,3.0,5.0
40630600,2,4,P,-4.0,-4.0,3.0,5.0
40632000,2,4,P,-4.0,-4.0,3.0,5.0
40633000,2,4,P,-4.0,-4.0,3.0,5.0
40633600,2,4,P,-4.0,-4.0,3.0,5.0
40634100,2,4,P,-4.0,-4.0,3.0,5.0
40637500,2,4,P,-4.0,-4.0,3.0,5.0
40638000,2,4,P,-4.0,-4.0,3.0,5.0
40638400,2,4,P,-4.0,-4.0,3.0,5.0
40690200,2,3,P,-4.0,-4.0,3.0,5.0
40692200,2,3,P,-4.0,-4.0,3.0,5.0
40692600,2,3,P,-4.0,-4.0,3.0,5.0
40693000,2,3,P,-4.0,-4.0,3.0,5.0
40693300,2,3,P,-4.0,-4.0,3.0,5.0
40737200,2,3,P,-4.0,-4.0,3.0,5.0
40798700,2,3,P,-4.0,-4.0,3.0,5.0
40800800,2,3,P,-4.0,-4.0,3.0,5.0
40801600,2,3,P,-4.0,-4.0,3.0,5.0
40804100,2,3,P,-4.0,-4.0,3.0,5.0
40806300,2,3,P,-4.0,-4.0,3.0,5.0
40806800,2,3,P,-4.0,-4.0,3.0,5.0
40807300,2,3,P,-4.0,-4.0,3.0,5.0
40860900,2,3,P,-4.0,-4.0,3.0,5.0
40879000,2,4,P,-4.0,-4.0,3.0,5.0
40886800,2,4,P,-4.0,-4.0,3.0,5.0
40906400,2,4,P,-4.0,-4.0,3.0,5.0
40907900,2,4,P,-4.0,-4.0,3.0,5.0
40908800,2,4,P,-4.0,-4.0,3.0,5.0
40946300,2,3,P,-4.0,-4.0,3.0,5.0
40949200,2,3,P,-4.0,-4.0,3.0,5.0
40973400,2,4,P,-4.0,-4.0,3.0,5.0
40975400,2,4,P,-4.0,-4.0,3.0,5.0
41005000,2,3,P,-4.0,-4.0,3.0,5.0
41006300,2,3,P,-4.0,-4.0,3.0,5.0
41006700,2,3,P,-4.0,-4.0,3.0,5.0
41007100,2,3,P,-4.0,-4.0,3.0,5.0
41007500,2,3,P,-4.0,-4.0,3.0,5.0
41008100,2,3,P,-4.0,-4.0,3.0,5.0
41008500,2,3,P,-4.0,-4.0,3.0,5.0
41008900,2,3,P,-4.0,-4.0,3.0,5.0
41017200,1,2,P,-4.0,-4.0,2.8888888888888893,5.111111111111111
41023200,1,2,P,-4.0,-4.0,2.8,5.2
41068200,1,2,P,-4.0,-4.0,2.727272727272727,5.272727272727273
