Time,Attacker,Victim,Attack Type,4,1,3,2
36378300,1,4,P,-1.0,1.0,0.0,0.0
36578000,1,4,J,-1.0,1.0,0.0,0.0
38763500,1,4,P,-1.0,1.0,0.0,0.0
39187200,1,4,P,-1.0,1.0,0.0,0.0
39264400,3,4,P,-2.0,1.0,1.0,0.0
43842700,1,3,P,-3.0,3.0,0.0,0.0
43845400,1,3,P,-3.0,3.0,0.0,0.0
43857700,3,4,P,-3.0,3.0,0.0,0.0
43859500,3,4,P,-3.0,3.0,0.0,0.0
43865600,1,2,P,-3.0,4.0,0.0,-1.0
43872000,3,4,P,-3.0,4.0,0.0,-1.0
43879100,3,4,P,-3.0,4.0,0.0,-1.0
43890500,1,2,P,-3.0,4.0,0.0,-1.0
43923100,1,3,P,-3.0,4.0,0.0,-1.0
43930100,1,3,P,-3.0,4.0,0.0,-1.0
44006100,1,2,J,-3.0,4.0,0.0,-1.0
44029700,1,4,J,-3.0,4.0,0.0,-1.0
44042900,1,4,P,-3.0,4.0,0.0,-1.0
44235000,1,4,P,-3.0,4.0,0.0,-1.0
44249100,1,4,P,-3.0,4.0,0.0,-1.0
44316300,2,4,P,-5.0,5.0,0.0,0.0
44459400,3,4,P,-5.0,5.0,0.0,0.0
44566900,3,4,P,-5.0,5.0,0.0,0.0
44787500,2,3,P,-6.0,6.0,-2.0,2.0
44813500,2,4,P,-6.0,6.0,-2.0,2.0
44852200,2,4,P,-6.0,6.0,-2.0,2.0
44925900,2,4,P,-6.0,6.0,-2.0,2.0
44950700,3,4,P,-6.0,6.0,-2.0,2.0
44972200,2,3,P,-6.0,6.0,-2.0,2.0
45000900,1,3,P,-6.0,6.0,-2.0,2.0
45181700,2,4,P,-6.0,6.0,-2.0,2.0
45223600,1,3,P,-6.0,6.0,-2.0,2.0
45513300,2,3,P,-6.0,6.0,-2.0,2.0
45604900,2,3,P,-6.0,6.0,-2.0,2.0
45607900,2,3,P,-6.0,6.0,-2.0,2.0
45608400,2,3,P,-6.0,6.0,-2.0,2.0
45738200,2,4,P,-6.0,6.0,-2.0,2.0
45965800,3,4,P,-6.0,6.0,-2.0,2.0
45968600,3,4,P,-6.0,6.0,-2.0,2.0
45969800,3,4,J,-6.0,6.0,-2.0,2.0
46228700,1,4,P,-6.0,6.0,-2.0,2.0
46605200,2,4,P,-6.0,6.0,-2.0,2.0
46724900,2,4,P,-6.0,6.0,-2.0,2.0
46788200,2,3,P,-6.0,6.0,-2.0,2.0
46790000,2,3,P,-6.0,6.0,-2.0,2.0
46907800,3,4,P,-6.0,6.0,-2.0,2.0
47036100,3,4,P,-6.0,6.0,-2.0,2.0
47039900,3,4,J,-6.0,6.0,-2.0,2.0
47042000,3,4,P,-6.0,6.0,-2.0,2.0
47234600,2,3,P,-6.0,6.0,-2.0,2.0
47254600,2,3,P,-6.0,6.0,-2.0,2.0
47256200,2,3,P,-6.0,6.0,-2.0,2.0
47380200,2,4,P,-6.0,6.0,-2.0,2.0
47388400,2,4,P,-6.0,6.0,-2.0,2.0
47392400,2,4,P,-6.0,6.0,-2.0,2.0
47477100,2,4,P,-6.0,6.0,-2.0,2.0
47480300,2,4,P,-6.0,6.0,-2.0,2.0
47523300,2,3,P,-6.0,6.0,-2.0,2.0
47646900,2,3,P,-6.0,6.0,-2.0,2.0
47664700,2,4,P,-6.0,6.0,-2.0,2.0
47681500,2,3,P,-6.0,6.0,-2.0,2.0
47682800,2,3,P,-6.0,6.0,-2.0,2.0
47735700,2,3,P,-6.0,6.0,-2.0,2.0
47739000,2,4,P,-6.0,6.0,-2.0,2.0
47779400,2,3,P,-6.0,6.0,-2.0,2.0
47789500,2,3,P,-6.0,6.0,-2.0,2.0
47798100,2,4,P,-6.0,6.0,-2.0,2.0
47862700,2,3,P,-6.0,6.0,-2.0,2.0
48180600,2,4,P,-6.0,6.0,-2.0,2.0
48333500,2,4,P,-6.0,6.0,-2.0,2.0
48343900,2,3,P,-6.0,6.0,-2.0,2.0
48349800,2,3,P,-6.0,6.0,-2.0,2.0
48351400,2,4,P,-6.0,6.0,-2.0,2.0
48353400,2,4,P,-6.0,6.0,-2.0,2.0
48362700,2,4,P,-6.0,6.0,-2.0,2.0
48392700,3,4,P,-6.0,6.0,-2.0,2.0
48400800,2,3,P,-6.0,6.0,-2.0,2.0
48426400,2,3,J,-6.0,6.0,-2.0,2.0
48617200,2,3,J,-6.0,6.0,-2.0,2.0
48761100,2,3,P,-6.0,6.0,-2.0,2.0
48809400,2,3,P,-6.0,6.0,-2.0,2.0
48811800,2,3,P,-6.0,6.0,-2.0,2.0
48824300,2,4,P,-6.0,6.0,-2.0,2.0
48907300,2,4,P,-6.0,6.0,-2.0,2.0
