Time,Attacker,Victim,Attack Type,1,3,4,2
34020000,3,1,P,-1.0,1.0,0.0,0.0
34162900,2,4,P,-1.0,1.0,-1.0,1.0
34173900,2,4,P,-1.0,1.0,-1.0,1.0
34175000,2,4,P,-1.0,1.0,-1.0,1.0
34182000,2,4,P,-1.0,1.0,-1.0,1.0
34182600,2,4,J,-1.0,1.0,-1.0,1.0
34211500,2,3,J,-2.0,0.0,-1.0,3.0
34219900,2,4,P,-2.0,0.0,-1.0,3.0
34222100,2,4,P,-2.0,0.0,-1.0,3.0
34248300,2,4,P,-2.0,0.0,-1.0,3.0
34248900,2,4,P,-2.0,0.0,-1.0,3.0
34249600,2,4,P,-2.0,0.0,-1.0,3.0
34256100,2,4,P,-2.0,0.0,-1.0,3.0
34256800,2,4,J,-2.0,0.0,-1.0,3.0
34262200,2,4,J,-2.0,0.0,-1.0,3.0
34264300,2,4,P,-2.0,0.0,-1.0,3.0
34271500,2,4,P,-2.0,0.0,-1.0,3.0
34272600,2,4,P,-2.0,0.0,-1.0,3.0
34326700,2,4,P,-2.0,0.0,-1.0,3.0
34328700,2,4,P,-2.0,0.0,-1.0,3.0
34329100,2,4,P,-2.0,0.0,-1.0,3.0
34330400,2,4,J,-2.0,0.0,-1.0,3.0
34333100,2,4,J,-2.0,0.0,-1.0,3.0
34337000,2,4,J,-2.0,0.0,-1.0,3.0
34338600,2,4,J,-2.0,0.0,-1.0,3.0
34343400,2,4,P,-2.0,0.0,-1.0,3.0
34392200,2,4,P,-2.0,0.0,-1.0,3.0
34394300,2,4,P,-2.0,0.0,-1.0,3.0
34394800,2,4,J,-2.0,0.0,-1.0,3.0
34401700,2,4,P,-2.0,0.0,-1.0,3.0
34404400,2,4,P,-2.0,0.0,-1.0,3.0
34409300,2,4,P,-2.0,0.0,-1.0,3.0
34415500,2,4,P,-2.0,0.0,-1.0,3.0
34417600,2,4,P,-2.0,0.0,-1.0,3.0
34418900,2,4,P,-2.0,0.0,-1.0,3.0
34420400,2,4,P,-2.0,0.0,-1.0,3.0
34425600,2,4,P,-2.0,0.0,-1.0,3.0
34426200,2,4,J,-2.0,0.0,-1.0,3.0
34584300,1,3,P,-0.5,-1.0,-1.0,2.5
34588000,1,3,P,1.1102230246251565e-16,-1.333333333333333,-1.0,2.3333333333333335
34590800,2,3,J,1.1102230246251565e-16,-1.333333333333333,-1.0,2.3333333333333335
34592400,2,3,J,1.1102230246251565e-16,-1.333333333333333,-1.0,2.3333333333333335
34602000,2,4,J,1.1102230246251565e-16,-1.333333333333333,-1.0,2.3333333333333335
34604000,2,4,J,1.1102230246251565e-16,-1.333333333333333,-1.0,2.3333333333333335
34604400,2,4,J,1.1102230246251565e-16,-1.333333333333333,-1.0,2.3333333333333335
34604800,2,4,J,1.1102230246251565e-16,-1.333333333333333,-1.0,2.3333333333333335
34605200,2,4,J,1.1102230246251565e-16,-1.333333333333333,-1.0,2.3333333333333335
34608200,2,4,P,1.1102230246251565e-16,-1.333333333333333,-1.0,2.3333333333333335
34610800,2,4,P,1.1102230246251565e-16,-1.333333333333333,-1.0,2.3333333333333335
34613400,2,4,P,1.1102230246251565e-16,-1.333333333333333,-1.0,2.3333333333333335
34614400,2,4,P,1.1102230246251565e-16,-1.333333333333333,-1.0,2.3333333333333335
34615400,2,1,J,-0.9999999999999999,-1.9999999999999998,-1.0,4.0
34626700,2,4,P,-0.9999999999999999,-1.9999999999999998,-1.0,4.0
34629600,2,4,P,-0.9999999999999999,-1.9999999999999998,-1.0,4.0
34636100,2,4,P,-0.9999999999999999,-1.9999999999999998,-1.0,4.0
34651900,2,4,P,-0.9999999999999999,-1.9999999999999998,-1.0,4.0
34652600,2,4,J,-0.9999999999999999,-1.9999999999999998,-1.0,4.0
34655900,2,4,P,-0.9999999999999999,-1.9999999999999998,-1.0,4.0
34660500,2,4,P,-0.9999999999999999,-1.9999999999999998,-1.0,4.0
34660900,2,4,P,-0.9999999999999999,-1.9999999999999998,-1.0,4.0
34671900,2,4,P,-0.9999999999999999,-1.9999999999999998,-1.0,4.0
34672800,2,4,J,-0.9999999999999999,-1.9999999999999998,-1.0,4.0
