Time,Attacker,Victim,Attack Type,1,2,3,4
32016200,2,1,J,-1.0,1.0,0.0,0.0
32024000,1,2,P,0.0,0.0,0.0,0.0
32025000,1,2,J,0.33333333333333337,-0.33333333333333326,0.0,0.0
32154700,1,2,P,0.5,-0.5,0.0,0.0
32482900,1,3,P,1.5,-0.25,-1.25,0.0
32585400,1,2,P,1.6,-0.4,-1.2,0.0
32591100,1,2,P,1.6666666666666667,-0.5,-1.1666666666666667,0.0
32746400,1,3,P,1.6666666666666667,-0.5,-1.1666666666666667,0.0
32936100,1,3,P,1.6666666666666667,-0.5,-1.1666666666666667,0.0
33057100,3,4,P,2.666666666666667,-0.5,-0.16666666666666666,-2.0
33071500,3,4,P,2.666666666666667,-0.5,-0.16666666666666666,-2.0
33102800,1,4,P,3.666666666666667,-0.3333333333333334,-0.16666666666666666,-3.166666666666667
33248100,3,4,P,3.666666666666667,-0.3333333333333334,-0.16666666666666666,-3.166666666666667
33309800,1,4,P,3.666666666666667,-0.3333333333333334,-0.16666666666666666,-3.166666666666667
33463200,1,3,P,3.666666666666667,-0.3333333333333334,-0.16666666666666666,-3.166666666666667
33465000,1,3,P,3.666666666666667,-0.3333333333333334,-0.16666666666666666,-3.166666666666667
33760700,3,4,P,3.666666666666667,-0.3333333333333334,-0.16666666666666666,-3.166666666666667
34065000,1,2,P,3.7142857142857144,-0.42857142857142855,-0.14285714285714285,-3.142857142857143
34086600,1,4,P,3.7142857142857144,-0.42857142857142855,-0.14285714285714285,-3.142857142857143
34088400,1,4,P,3.7142857142857144,-0.42857142857142855,-0.14285714285714285,-3.142857142857143
34138800,1,4,P,3.7142857142857144,-0.42857142857142855,-0.14285714285714285,-3.142857142857143
34164000,1,4,P,3.7142857142857144,-0.42857142857142855,-0.14285714285714285,-3.142857142857143
34401000,1,4,P,3.7142857142857144,-0.42857142857142855,-0.14285714285714285,-3.142857142857143
34405700,1,4,P,3.7142857142857144,-0.42857142857142855,-0.14285714285714285,-3.142857142857143
34464800,1,3,P,3.7142857142857144,-0.42857142857142855,-0.14285714285714285,-3.142857142857143
34487300,1,3,P,3.7142857142857144,-0.42857142857142855,-0.14285714285714285,-3.142857142857143
34491000,1,3,P,3.7142857142857144,-0.42857142857142855,-0.14285714285714285,-3.142857142857143
34494600,1,3,P,3.7142857142857144,-0.42857142857142855,-0.14285714285714285,-3.142857142857143
34543400,1,3,P,3.7142857142857144,-0.42857142857142855,-0.14285714285714285,-3.142857142857143
34554400,1,4,P,3.7142857142857144,-0.42857142857142855,-0.14285714285714285,-3.142857142857143
34720900,2,3,P,4.571428571428571,1.5714285714285714,-2.0,-4.142857142857142
34728000,1,4,P,4.571428571428571,1.5714285714285714,-2.0,-4.142857142857142
34740100,1,4,P,4.571428571428571,1.5714285714285714,-2.0,-4.142857142857142
34859800,1,4,P,4.571428571428571,1.5714285714285714,-2.0,-4.142857142857142
35137700,1,4,P,4.571428571428571,1.5714285714285714,-2.0,-4.142857142857142
35399000,1,3,P,4.571428571428571,1.5714285714285714,-2.0,-4.142857142857142
35402500,1,3,P,4.571428571428571,1.5714285714285714,-2.0,-4.142857142857142
35403100,1,3,P,4.571428571428571,1.5714285714285714,-2.0,-4.142857142857142
35403600,1,3,P,4.571428571428571,1.5714285714285714,-2.0,-4.142857142857142
35416100,1,3,P,4.571428571428571,1.5714285714285714,-2.0,-4.142857142857142
35441900,1,4,P,4.571428571428571,1.5714285714285714,-2.0,-4.142857142857142
35443200,1,4,P,4.571428571428571,1.5714285714285714,-2.0,-4.142857142857142
