Time,Attacker,Victim,Attack Type,4,2,1,3
34559200,2,4,P,-1.0,1.0,0.0,0.0
34586200,4,2,P,0.0,0.0,0.0,0.0
34683300,1,2,P,-0.5,-1.0,1.5,0.0
34688800,1,2,J,-0.5,-1.0,1.5,0.0
34694700,1,2,P,-0.5,-1.0,1.5,0.0
34699500,2,1,J,-0.25,-0.5,0.75,0.0
34701400,1,2,J,-0.30000000000000004,-0.6000000000000002,0.8999999999999999,0.0
34707600,1,2,J,-0.3333333333333335,-0.6666666666666667,0.9999999999999999,0.0
34710100,2,1,J,-0.2142857142857144,-0.4285714285714286,0.6428571428571428,0.0
34714000,1,2,P,-0.25,-0.5,0.75,0.0
34714000,2,1,P,-0.16666666666666663,-0.33333333333333337,0.5,0.0
34725300,1,2,P,-0.19999999999999996,-0.3999999999999999,0.5999999999999998,0.0
34726600,1,2,J,-0.2272727272727273,-0.4545454545454546,0.681818181818182,0.0
34730500,2,1,J,-0.16666666666666663,-0.33333333333333337,0.5,0.0
34736800,1,2,P,-0.1923076923076923,-0.3846153846153846,0.5769230769230769,0.0
34755700,1,3,P,-0.1923076923076923,-0.07692307692307687,1.5769230769230769,-1.3076923076923077
34758200,1,3,J,-0.1923076923076923,-0.07692307692307687,1.5769230769230769,-1.3076923076923077
34770900,1,3,P,-0.1923076923076923,-0.07692307692307687,1.5769230769230769,-1.3076923076923077
34785100,1,3,P,-0.1923076923076923,-0.07692307692307687,1.5769230769230769,-1.3076923076923077
34891900,1,3,P,-0.1923076923076923,-0.07692307692307687,1.5769230769230769,-1.3076923076923077
35060700,1,3,P,-0.1923076923076923,-0.07692307692307687,1.5769230769230769,-1.3076923076923077
35419200,1,2,P,-0.2142857142857144,-0.14285714285714302,1.642857142857143,-1.2857142857142856
35794600,2,4,P,-0.7142857142857143,0.19047619047619035,1.8095238095238098,-1.2857142857142856
38060200,4,2,P,-0.2142857142857144,-0.14285714285714302,1.642857142857143,-1.2857142857142856
38560000,4,2,P,0.08571428571428563,-0.34285714285714275,1.5428571428571431,-1.2857142857142856
38872200,4,2,P,0.28571428571428575,-0.47619047619047616,1.4761904761904763,-1.2857142857142856
38875600,4,2,J,0.4285714285714287,-0.5714285714285714,1.4285714285714288,-1.2857142857142856
40150500,1,4,J,-0.8571428571428569,-1.0,3.1428571428571432,-1.2857142857142856
40153600,4,1,J,1.1428571428571432,-1.0,1.6428571428571432,-1.7857142857142856
40158500,1,4,P,0.4761904761904764,-1.0000000000000002,2.1428571428571432,-1.619047619047619
43458900,1,3,P,0.4761904761904764,-1.0000000000000002,2.1428571428571432,-1.619047619047619
44058200,1,4,P,0.1428571428571429,-1.0,2.3928571428571432,-1.5357142857142856
44072500,3,4,P,-1.8571428571428572,-1.7142857142857144,3.1428571428571423,0.4285714285714287
44107200,1,2,P,-1.857142857142857,-1.7904761904761903,3.1999999999999997,0.4476190476190478
44110400,1,2,P,-1.8571428571428568,-1.8571428571428574,3.25,0.4642857142857144
44114400,1,2,P,-1.857142857142857,-1.9159663865546221,3.2941176470588234,0.4789915966386556
44116700,1,2,P,-1.857142857142857,-1.9682539682539686,3.333333333333333,0.4920634920634922
44311400,3,2,P,-2.142857142857143,-3.9682539682539684,4.111111111111111,2.0
44313900,3,2,J,-2.142857142857143,-3.9682539682539684,4.111111111111111,2.0
44472300,1,2,P,-2.142857142857143,-4.015037593984962,4.157894736842105,1.9999999999999998
44481600,1,2,P,-2.142857142857143,-4.057142857142857,4.199999999999999,2.0
44485100,1,2,P,-2.142857142857143,-4.095238095238095,4.238095238095237,2.0
44490200,1,2,P,-2.142857142857143,-4.12987012987013,4.272727272727273,1.9999999999999998
45240200,3,4,J,-2.142857142857143,-4.12987012987013,4.272727272727273,1.9999999999999998
45624900,3,2,P,-2.142857142857143,-4.12987012987013,4.272727272727273,1.9999999999999998
45745400,1,3,P,-2.142857142857143,-4.12987012987013,4.272727272727273,1.9999999999999998
46662100,1,3,P,-2.142857142857143,-4.12987012987013,4.272727272727273,1.9999999999999998
46989400,2,4,P,-2.5,-3.7727272727272725,4.272727272727273,1.9999999999999998
47016600,1,2,P,-2.5,-3.804347826086957,4.304347826086957,2.0
47058700,1,2,P,-2.5,-3.8333333333333335,4.333333333333333,2.0
47938300,1,3,P,-2.5,-3.8333333333333335,4.333333333333333,2.0
48454200,2,4,P,-2.777777777777778,-3.5555555555555562,4.333333333333333,2.0
48769200,3,2,J,-2.777777777777778,-3.5555555555555562,4.333333333333333,2.0
49210500,3,2,P,-2.777777777777778,-3.5555555555555562,4.333333333333333,2.0
49417100,2,4,P,-3.0,-3.3333333333333335,4.333333333333334,2.0
50524200,2,1,P,-3.0,-3.2,4.199999999999999,2.0
50536400,2,1,P,-3.0,-3.0769230769230766,4.076923076923077,2.0
50539000,2,1,P,-3.0,-2.962962962962963,3.962962962962963,2.0
50609500,1,2,P,-3.0,-3.0,4.0,2.0
50610900,1,2,P,-3.0000000000000004,-3.03448275862069,4.03448275862069,1.9999999999999998
50613400,1,2,P,-3.0,-3.066666666666667,4.066666666666666,2.0
50631600,1,2,P,-3.0,-3.096774193548387,4.096774193548388,1.9999999999999998
50724000,1,2,P,-3.0,-3.125,4.125,2.0
50751600,1,2,P,-3.0,-3.151515151515152,4.151515151515152,1.9999999999999998
51164900,1,2,P,-3.0,-3.176470588235294,4.1764705882352935,2.0
51613900,1,3,P,-3.0,-3.176470588235294,4.1764705882352935,2.0
51683400,2,4,P,-3.1818181818181817,-2.9946524064171123,4.1764705882352935,2.0
51686900,2,4,P,-3.3333333333333335,-2.8431372549019605,4.176470588235294,2.0
51687300,2,4,P,-3.4615384615384617,-2.7149321266968327,4.1764705882352935,2.0
51687800,2,4,P,-3.571428571428571,-2.6050420168067223,4.1764705882352935,2.0
51688300,2,4,P,-3.6666666666666665,-2.5098039215686274,4.176470588235294,2.0
51691000,2,4,P,-3.75,-2.426470588235294,4.1764705882352935,2.0
51691600,2,4,P,-3.8235294117647056,-2.352941176470588,4.1764705882352935,2.0
51787100,1,2,P,-3.8235294117647065,-2.3764705882352937,4.199999999999999,2.0
52364700,1,2,P,-3.823529411764706,-2.3986928104575167,4.222222222222221,2.0
52931400,1,4,P,-4.023529411764706,-2.3986928104575167,4.422222222222222,2.0
53002100,1,2,P,-4.023529411764706,-2.4197138314785374,4.443243243243244,2.0
53013000,1,2,P,-4.023529411764706,-2.439628482972136,4.463157894736842,2.0
53015600,1,2,P,-4.023529411764706,-2.4585218702865763,4.482051282051282,2.0
53186300,3,2,P,-4.023529411764706,-2.4585218702865763,4.482051282051282,2.0
53223200,1,3,P,-4.023529411764706,-2.4585218702865763,4.482051282051282,2.0
53464400,1,3,P,-4.023529411764706,-2.4585218702865763,4.482051282051282,2.0
53641800,1,3,P,-4.023529411764706,-2.4585218702865763,4.482051282051282,2.0
53644600,1,3,P,-4.023529411764706,-2.4585218702865763,4.482051282051282,2.0
53671300,1,3,P,-4.023529411764706,-2.4585218702865763,4.482051282051282,2.0
53719500,1,2,P,-4.023529411764706,-2.4764705882352938,4.5,2.0
53993300,3,2,P,-4.023529411764706,-2.4764705882352938,4.5,2.0
53997700,2,3,P,-4.023529411764706,-1.9764705882352938,4.5,1.4999999999999998
54006000,3,2,P,-4.023529411764706,-2.032026143790849,4.5,1.5555555555555554
54014900,3,2,J,-4.023529411764706,-2.076470588235294,4.5,1.5999999999999999
54016500,2,3,P,-4.023529411764706,-1.7491978609625665,4.500000000000001,1.2727272727272727
55011600,1,2,P,-4.023529411764706,-1.7662710316942742,4.517073170731707,1.2727272727272734
55221900,1,2,P,-4.023529411764706,-1.7825311942959003,4.533333333333334,1.2727272727272727
55227700,1,2,P,-4.023529411764706,-1.7980350702648922,4.548837209302326,1.2727272727272727
119090100,2,4,P,-4.088888888888889,-1.7326755931407096,4.548837209302327,1.2727272727272732
119094000,4,2,P,-3.9368421052631577,-1.8847223767664403,4.548837209302326,1.272727272727273
119143300,2,4,P,-4.0,-1.8215644820295984,4.5488372093023255,1.2727272727272727
119145000,2,4,P,-4.057142857142857,-1.7644216248867413,4.548837209302326,1.272727272727273
119146200,2,4,P,-4.109090909090909,-1.7124735729386895,4.5488372093023255,1.272727272727273
119150100,4,2,P,-3.982608695652174,-1.8389557863774246,4.548837209302327,1.2727272727272732
119219600,1,2,P,-3.9826086956521745,-1.8537549407114629,4.563636363636363,1.272727272727273
119266500,1,2,P,-3.982608695652174,-1.867896354852877,4.577777777777779,1.272727272727273
119271600,1,2,P,-3.982608695652174,-1.8814229249011856,4.591304347826087,1.2727272727272727
119273800,1,2,P,-3.982608695652174,-1.8943738962240353,4.604255319148937,1.2727272727272725
120950200,3,4,J,-3.982608695652174,-1.8943738962240353,4.604255319148937,1.2727272727272725
120950300,3,4,P,-3.982608695652174,-1.8943738962240353,4.604255319148937,1.2727272727272725
122264800,2,3,P,-3.982608695652174,-1.621646623496762,4.604255319148937,1.0
122267200,3,2,J,-3.9826086956521745,-1.6985697004198392,4.604255319148937,1.0769230769230769
122269400,2,3,P,-3.982608695652174,-1.4787894806396191,4.604255319148937,0.8571428571428572
122358400,2,3,P,-3.982608695652174,-1.2883132901634287,4.604255319148936,0.6666666666666667
122745200,2,4,P,-4.033333333333333,-1.2375886524822695,4.604255319148937,0.6666666666666663
122908200,2,4,P,-4.08,-1.1909219858156028,4.604255319148936,0.6666666666666665
122910500,2,4,J,-4.123076923076923,-1.1478450627386796,4.604255319148937,0.6666666666666663
122916900,2,3,P,-4.123076923076923,-0.9811783960720128,4.604255319148937,0.5
