Time,Attacker,Victim,Attack Type,4,1,3,2
34203100,1,4,J,-1.0,1.0,0.0,0.0
34293700,1,4,P,-1.0,1.0,0.0,0.0
34330200,3,4,P,-2.0,1.0,1.0,0.0
34424000,1,4,C,-2.0,1.0,1.0,0.0
34489100,1,4,P,-2.0,1.0,1.0,0.0
34502100,3,4,P,-2.0,1.0,1.0,0.0
34507100,3,4,P,-2.0,1.0,1.0,0.0
34624900,1,3,J,-3.0,3.0,0.0,0.0
34624900,1,3,P,-3.0,3.0,0.0,0.0
35180500,1,2,P,-3.0,4.0,0.0,-1.0
35212000,1,4,J,-3.0,4.0,0.0,-1.0
35354400,1,4,P,-3.0,4.0,0.0,-1.0
35483400,1,4,P,-3.0,4.0,0.0,-1.0
35559400,1,3,P,-3.0,4.0,0.0,-1.0
35587300,1,3,P,-3.0,4.0,0.0,-1.0
35617300,1,4,P,-3.0,4.0,0.0,-1.0
35618100,1,4,P,-3.0,4.0,0.0,-1.0
35807400,1,3,J,-3.0,4.0,0.0,-1.0
35890800,1,4,P,-3.0,4.0,0.0,-1.0
35892700,1,4,P,-3.0,4.0,0.0,-1.0
35896200,1,4,P,-3.0,4.0,0.0,-1.0
35916300,1,4,P,-3.0,4.0,0.0,-1.0
35998300,1,4,P,-3.0,4.0,0.0,-1.0
36045600,1,4,P,-3.0,4.0,0.0,-1.0
36056700,1,4,P,-3.0,4.0,0.0,-1.0
36338700,1,4,P,-3.0,4.0,0.0,-1.0
36348300,1,2,P,-3.0,4.0,0.0,-1.0
36395800,1,2,P,-3.0,4.0,0.0,-1.0
36615600,1,3,C,-3.0,4.0,0.0,-1.0
37125100,1,4,P,-3.0,4.0,0.0,-1.0
37181900,1,4,P,-3.0,4.0,0.0,-1.0
37759200,1,2,P,-3.0,4.0,0.0,-1.0
38041100,1,4,J,-3.0,4.0,0.0,-1.0
38674300,2,4,P,-5.0,5.0,0.0,0.0
38678400,2,4,P,-5.0,5.0,0.0,0.0
38841200,2,4,P,-5.0,5.0,0.0,0.0
38855800,2,4,P,-5.0,5.0,0.0,0.0
39774500,2,4,P,-5.0,5.0,0.0,0.0
39779100,2,4,P,-5.0,5.0,0.0,0.0
39779800,2,4,P,-5.0,5.0,0.0,0.0
39878200,1,2,P,-5.0,5.0,0.0,0.0
40262100,1,2,P,-5.0,5.0,0.0,0.0
40690300,2,4,P,-5.0,5.0,0.0,0.0
40747500,2,3,P,-6.0,6.0,-2.0,2.0
40751100,2,3,P,-6.0,6.0,-2.0,2.0
40868800,1,2,C,-6.0,6.0,-2.0,2.0
41109900,1,2,P,-6.0,6.0,-2.0,2.0
41775400,1,2,P,-6.0,6.0,-2.0,2.0
41945100,1,2,P,-6.0,6.0,-2.0,2.0
41946900,1,2,P,-6.0,6.0,-2.0,2.0
41946900,1,2,C,-6.0,6.0,-2.0,2.0
42741400,1,2,P,-6.0,6.0,-2.0,2.0
42803000,1,2,P,-6.0,6.0,-2.0,2.0
43908500,2,4,P,-6.0,6.0,-2.0,2.0
43910200,2,4,P,-6.0,6.0,-2.0,2.0
44074200,1,2,P,-6.0,6.0,-2.0,2.0
44141500,1,2,P,-6.0,6.0,-2.0,2.0
44485200,1,2,P,-6.0,6.0,-2.0,2.0
44486600,1,2,J,-6.0,6.0,-2.0,2.0
44489000,1,2,J,-6.0,6.0,-2.0,2.0
44491000,1,2,J,-6.0,6.0,-2.0,2.0
44702100,1,2,P,-6.0,6.0,-2.0,2.0
44703900,1,2,P,-6.0,6.0,-2.0,2.0
44883000,1,2,P,-6.0,6.0,-2.0,2.0
45016800,1,2,P,-6.0,6.0,-2.0,2.0
45669200,2,4,P,-6.0,6.0,-2.0,2.0
45673400,2,4,P,-6.0,6.0,-2.0,2.0
46100300,1,2,P,-6.0,6.0,-2.0,2.0
46102300,1,2,P,-6.0,6.0,-2.0,2.0
46140900,1,2,P,-6.0,6.0,-2.0,2.0
46611200,2,4,P,-6.0,6.0,-2.0,2.0
46613600,2,4,J,-6.0,6.0,-2.0,2.0
46658100,2,4,P,-6.0,6.0,-2.0,2.0
46701100,3,4,P,-6.0,6.0,-2.0,2.0
46707600,1,2,P,-6.0,6.0,-2.0,2.0
46711400,1,2,P,-6.0,6.0,-2.0,2.0
46827500,2,3,P,-6.0,6.0,-2.0,2.0
47244200,2,4,P,-6.0,6.0,-2.0,2.0
47315500,3,4,P,-6.0,6.0,-2.0,2.0
47319000,3,4,P,-6.0,6.0,-2.0,2.0
48434400,3,4,P,-6.0,6.0,-2.0,2.0
48448000,3,4,P,-6.0,6.0,-2.0,2.0
50511000,1,4,J,-6.0,6.0,-2.0,2.0
51907600,1,2,P,-6.0,6.0,-2.0,2.0
51973700,1,4,P,-6.0,6.0,-2.0,2.0
52283400,2,4,P,-6.0,6.0,-2.0,2.0
53285200,2,3,P,-6.0,6.0,-2.0,2.0
53292500,2,3,P,-6.0,6.0,-2.0,2.0
54026900,2,4,P,-6.0,6.0,-2.0,2.0
54156000,2,3,P,-6.0,6.0,-2.0,2.0
54160000,2,3,P,-6.0,6.0,-2.0,2.0
54776700,3,4,P,-6.0,6.0,-2.0,2.0
54841400,1,4,P,-6.0,6.0,-2.0,2.0
54848800,3,4,P,-6.0,6.0,-2.0,2.0
54955200,2,4,P,-6.0,6.0,-2.0,2.0
55006200,1,2,P,-6.0,6.0,-2.0,2.0
55377000,1,2,P,-6.0,6.0,-2.0,2.0
55689100,3,4,P,-6.0,6.0,-2.0,2.0
55691100,3,4,P,-6.0,6.0,-2.0,2.0
55691500,3,4,P,-6.0,6.0,-2.0,2.0
