Time,Attacker,Victim,Attack Type,2,1,3,4
32643100,1,2,P,-1.0,1.0,0.0,0.0
32647600,1,2,P,-1.0,1.0,0.0,0.0
32784200,1,3,P,-1.0,2.0,-1.0,0.0
33029900,2,4,P,0.0,3.0,-1.0,-2.0
33042400,2,3,P,1.0,4.0,-3.0,-2.0
33056900,2,3,P,1.0,4.0,-3.0,-2.0
33177700,1,4,P,1.0,5.0,-3.0,-3.0
33261700,1,3,P,1.0,5.0,-3.0,-3.0
33384400,1,3,P,1.0,5.0,-3.0,-3.0
33403600,1,4,P,1.0,5.0,-3.0,-3.0
33421300,1,2,P,1.0,5.0,-3.0,-3.0
33429000,1,4,P,1.0,5.0,-3.0,-3.0
33465000,2,4,P,1.0,5.0,-3.0,-3.0
33466600,2,4,P,1.0,5.0,-3.0,-3.0
33626100,2,4,P,1.0,5.0,-3.0,-3.0
33632900,2,4,P,1.0,5.0,-3.0,-3.0
33633500,2,4,P,1.0,5.0,-3.0,-3.0
33709800,2,4,P,1.0,5.0,-3.0,-3.0
33985000,2,3,P,1.0,5.0,-3.0,-3.0
34111700,2,3,P,1.0,5.0,-3.0,-3.0
34118600,1,3,P,1.0,5.0,-3.0,-3.0
34197900,1,3,P,1.0,5.0,-3.0,-3.0
34254300,1,4,P,1.0,5.0,-3.0,-3.0
34405400,1,2,P,1.0,5.0,-3.0,-3.0
34507400,1,3,P,1.0,5.0,-3.0,-3.0
34591400,1,2,P,1.0,5.0,-3.0,-3.0
34626700,2,4,P,1.0,5.0,-3.0,-3.0
34633200,2,4,P,1.0,5.0,-3.0,-3.0
34650600,2,4,P,1.0,5.0,-3.0,-3.0
34651100,2,4,P,1.0,5.0,-3.0,-3.0
34651800,2,4,P,1.0,5.0,-3.0,-3.0
35146300,2,3,P,1.0,5.0,-3.0,-3.0
35149700,2,3,P,1.0,5.0,-3.0,-3.0
35150600,2,3,P,1.0,5.0,-3.0,-3.0
35157900,2,3,P,1.0,5.0,-3.0,-3.0
35158600,2,3,P,1.0,5.0,-3.0,-3.0
35162400,2,3,P,1.0,5.0,-3.0,-3.0
35238200,2,3,P,1.0,5.0,-3.0,-3.0
35240200,2,3,P,1.0,5.0,-3.0,-3.0
35302200,2,3,P,1.0,5.0,-3.0,-3.0
35336300,2,4,P,1.0,5.0,-3.0,-3.0
35433400,2,4,P,1.0,5.0,-3.0,-3.0
35437900,2,4,P,1.0,5.0,-3.0,-3.0
35438900,2,4,P,1.0,5.0,-3.0,-3.0
35439700,2,4,P,1.0,5.0,-3.0,-3.0
35700600,2,3,P,1.0,5.0,-3.0,-3.0
37294200,1,2,P,1.0,5.0,-3.0,-3.0
37405700,2,4,P,1.0,5.0,-3.0,-3.0
37412100,2,4,P,1.0,5.0,-3.0,-3.0
37434200,2,4,P,1.0,5.0,-3.0,-3.0
37443600,2,4,P,1.0,5.0,-3.0,-3.0
37444300,2,4,P,1.0,5.0,-3.0,-3.0
37445000,2,4,P,1.0,5.0,-3.0,-3.0
37709300,1,4,P,1.0,5.0,-3.0,-3.0
37733400,2,3,P,1.0,5.0,-3.0,-3.0
37754200,2,3,P,1.0,5.0,-3.0,-3.0
37760100,2,3,P,1.0,5.0,-3.0,-3.0
37761500,2,3,P,1.0,5.0,-3.0,-3.0
37824600,2,3,P,1.0,5.0,-3.0,-3.0
38283900,2,3,P,1.0,5.0,-3.0,-3.0
38284900,2,3,P,1.0,5.0,-3.0,-3.0
38309300,2,3,P,1.0,5.0,-3.0,-3.0
38313400,2,3,P,1.0,5.0,-3.0,-3.0
38444100,2,3,P,1.0,5.0,-3.0,-3.0
38449000,2,3,P,1.0,5.0,-3.0,-3.0
38537400,2,3,P,1.0,5.0,-3.0,-3.0
38540800,2,3,P,1.0,5.0,-3.0,-3.0
38591800,2,3,P,1.0,5.0,-3.0,-3.0
38592500,2,3,P,1.0,5.0,-3.0,-3.0
38758700,2,3,P,1.0,5.0,-3.0,-3.0
41538600,1,2,P,1.0,5.0,-3.0,-3.0
41540200,1,2,P,1.0,5.0,-3.0,-3.0
41560800,1,4,P,1.0,5.0,-3.0,-3.0
41579800,2,4,P,1.0,5.0,-3.0,-3.0
41582300,2,4,P,1.0,5.0,-3.0,-3.0
42048600,1,3,P,1.0,5.0,-3.0,-3.0
42996600,2,4,P,1.0,5.0,-3.0,-3.0
43019800,2,4,P,1.0,5.0,-3.0,-3.0
43040300,2,4,P,1.0,5.0,-3.0,-3.0
43041900,2,4,P,1.0,5.0,-3.0,-3.0
43043800,2,4,P,1.0,5.0,-3.0,-3.0
43048700,2,4,P,1.0,5.0,-3.0,-3.0
44538800,1,2,P,1.0,5.0,-3.0,-3.0
44689500,2,3,P,1.0,5.0,-3.0,-3.0
44695600,2,3,P,1.0,5.0,-3.0,-3.0
44739800,2,3,P,1.0,5.0,-3.0,-3.0
45209100,2,3,P,1.0,5.0,-3.0,-3.0
45373100,2,3,P,1.0,5.0,-3.0,-3.0
46788100,2,3,P,1.0,5.0,-3.0,-3.0
46796700,2,3,P,1.0,5.0,-3.0,-3.0
47081100,2,3,P,1.0,5.0,-3.0,-3.0
47977200,1,2,P,1.0,5.0,-3.0,-3.0
49314200,1,3,P,1.0,5.0,-3.0,-3.0
49608200,1,3,P,1.0,5.0,-3.0,-3.0
49610200,1,3,P,1.0,5.0,-3.0,-3.0
50068200,1,4,P,1.0,5.0,-3.0,-3.0
50075300,1,4,P,1.0,5.0,-3.0,-3.0
50076800,1,4,P,1.0,5.0,-3.0,-3.0
